year,cma_code,cma_name,vendor_count,active_licence_count,active_device_count,seniors_65plus
2018,541,Kitchener - Cambridge - Waterloo,8,33,123,89705
2018,567,Collingwood,1,1,1,
2018,568,Barrie,2,25,52,34440
2018,NA,Unmapped / Out-of-scope,194,1100,3172,
2019,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),3,13,16,195980
2019,521,Kingston,1,1,2,36965
2019,530,Kawartha Lakes,1,28,54,
2019,532,Oshawa,1,3,4,65435
2019,535,Toronto,60,372,1229,1002645
2019,537,Hamilton,5,41,141,149635
2019,541,Kitchener - Cambridge - Waterloo,9,36,141,89705
2019,567,Collingwood,1,1,1,
2019,568,Barrie,2,25,58,34440
2019,NA,Unmapped / Out-of-scope,210,1235,3668,
2020,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),3,13,16,195980
2020,521,Kingston,1,1,2,36965
2020,530,Kawartha Lakes,1,28,54,
2020,532,Oshawa,1,3,4,65435
2020,535,Toronto,65,415,1312,1002645
2020,537,Hamilton,5,41,153,149635
2020,541,Kitchener - Cambridge - Waterloo,10,41,158,89705
2020,567,Collingwood,1,1,1,
2020,568,Barrie,2,25,58,34440
2020,NA,Unmapped / Out-of-scope,226,1361,4100,
2021,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),3,15,18,195980
2021,521,Kingston,1,1,2,36965
2021,530,Kawartha Lakes,1,28,54,
2021,532,Oshawa,1,3,4,65435
2021,535,Toronto,72,450,1386,1002645
2021,537,Hamilton,5,42,162,149635
2021,541,Kitchener - Cambridge - Waterloo,11,51,197,89705
2021,543,Brantford,1,1,1,27840
2021,567,Collingwood,1,1,1,
2021,568,Barrie,2,27,61,34440
2021,NA,Unmapped / Out-of-scope,241,1454,4358,
2022,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),3,16,19,195980
2022,521,Kingston,1,1,2,36965
2022,530,Kawartha Lakes,1,28,54,
2022,532,Oshawa,1,3,4,65435
2022,535,Toronto,76,479,1485,1002645
2022,537,Hamilton,5,42,163,149635
2022,541,Kitchener - Cambridge - Waterloo,12,72,257,89705
2022,543,Brantford,1,1,1,27840
2022,567,Collingwood,2,3,3,
2022,568,Barrie,2,29,63,34440
2022,NA,Unmapped / Out-of-scope,265,1609,4799,
2023,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),3,17,21,195980
2023,521,Kingston,1,1,2,36965
2023,530,Kawartha Lakes,1,28,54,
2023,532,Oshawa,1,3,4,65435
2023,535,Toronto,85,580,1691,1002645
2023,537,Hamilton,6,45,170,149635
2023,541,Kitchener - Cambridge - Waterloo,13,78,283,89705
2023,543,Brantford,1,1,1,27840
2023,566,Owen Sound,1,2,2,
2023,567,Collingwood,2,3,3,
2023,568,Barrie,2,34,75,34440
2023,NA,Unmapped / Out-of-scope,290,1777,5214,
2024,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),3,17,21,195980
2024,521,Kingston,1,1,2,36965
2024,530,Kawartha Lakes,1,28,54,
2024,532,Oshawa,1,3,4,65435
2024,535,Toronto,91,638,1776,1002645
2024,537,Hamilton,6,48,183,149635
2024,541,Kitchener - Cambridge - Waterloo,14,84,303,89705
2024,543,Brantford,1,1,1,27840
2024,544,Woodstock,1,1,1,
2024,553,Stratford,1,1,1,
2024,566,Owen Sound,1,2,2,
2024,567,Collingwood,2,3,3,
2024,568,Barrie,2,34,75,34440
2024,NA,Unmapped / Out-of-scope,323,1973,5724,
2025,501,Cornwall,1,1,1,
2025,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),3,17,21,195980
2025,521,Kingston,2,2,4,36965
2025,530,Kawartha Lakes,1,28,54,
2025,532,Oshawa,1,3,4,65435
2025,535,Toronto,103,704,1877,1002645
2025,537,Hamilton,6,50,189,149635
2025,541,Kitchener - Cambridge - Waterloo,14,93,332,89705
2025,543,Brantford,1,1,1,27840
2025,544,Woodstock,1,1,1,
2025,550,Guelph,2,6,7,27955
2025,553,Stratford,1,1,1,
2025,566,Owen Sound,1,2,2,
2025,567,Collingwood,2,3,3,
2025,568,Barrie,2,35,76,34440
2025,NA,Unmapped / Out-of-scope,365,2218,6333,
2026,501,Cornwall,1,1,1,
2026,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),3,17,21,195980
2026,521,Kingston,2,2,4,36965
2026,530,Kawartha Lakes,1,28,54,
2026,532,Oshawa,1,3,4,65435
2026,535,Toronto,105,713,1891,1002645
2026,537,Hamilton,6,51,194,149635
2026,541,Kitchener - Cambridge - Waterloo,14,93,332,89705
2026,543,Brantford,1,1,1,27840
2026,544,Woodstock,1,1,1,
2026,550,Guelph,2,6,7,27955
2026,553,Stratford,1,1,1,
2026,566,Owen Sound,1,3,5,
2026,567,Collingwood,2,3,3,
2026,568,Barrie,2,35,76,34440
2026,NA,Unmapped / Out-of-scope,373,2248,6385,
